lang	num_hits	match	match-c	match-nc
gu	3750	0.345	0.360	0.342
scn	3750	0.000	0.000	0.000
ga	3750	0.000	0.000	0.000
gl	3750	0.147	0.070	0.166
lb	3750	0.000	0.000	0.000
tt	6	0.000	0.000	0.000
tr	3750	0.405	0.110	0.478
lv	3750	0.002	0.000	0.002
lt	3750	0.598	0.100	0.722
th	813	0.109	0.092	0.113
te	3750	0.253	0.159	0.276
ta	3750	0.252	0.147	0.279
ceb	3750	0.000	0.000	0.000
yo	452	0.000	0.000	0.000
de	3750	0.499	0.228	0.566
ko	1302	0.292	0.070	0.347
da	3750	0.680	0.173	0.806
qu	12	0.000	0.000	0.000
bpy	3694	0.000	0.000	0.000
diq	13	0.000	0.000	0.000
el	3750	0.574	0.125	0.686
eo	3750	0.661	0.196	0.777
zh	977	0.002	0.000	0.002
pms	1286	0.000	0.000	0.000
eu	3750	0.624	0.152	0.742
es	3750	0.542	0.127	0.646
ru	3750	0.486	0.486	0.000
new	3750	0.000	0.000	0.000
ro	3750	0.506	0.123	0.601
bn	3750	0.000	0.000	0.000
be	3750	0.000	0.000	0.000
bg	3750	0.535	0.097	0.644
uk	3750	0.280	0.046	0.338
wa	14	0.000	0.000	0.000
ast	3750	0.000	0.000	0.000
wo	3750	0.000	0.000	0.000
jv	3750	0.000	0.000	0.000
bo	3750	0.000	0.000	0.000
br	3750	0.000	0.000	0.000
bs	3750	0.000	0.000	0.000
ja	2056	0.218	0.028	0.265
ilo	3750	0.000	0.000	0.000
nds	1327	0.000	0.000	0.000
ca	3750	0.592	0.105	0.714
cy	3750	0.736	0.441	0.810
cs	3750	0.596	0.157	0.706
ps	2469	0.000	0.000	0.000
pt	3750	0.532	0.098	0.641
tl	3750	0.000	0.000	0.000
pa	3750	0.000	0.000	0.000
war	3750	0.000	0.000	0.000
pl	3750	0.465	0.072	0.563
hy	268	0.326	0.112	0.380
hr	3750	0.543	0.107	0.652
ht	3750	0.000	0.000	0.000
hu	3750	0.443	0.094	0.531
hi	3749	0.000	0.000	0.000
he	2008	0.310	0.046	0.376
mg	52	0.000	0.000	0.000
uz	3750	0.000	0.000	0.000
ml	3750	0.000	0.000	0.000
mk	3750	0.000	0.000	0.000
ur	3750	0.292	0.269	0.310
ms	3750	0.603	0.458	0.639
mr	3750	0.000	0.000	0.000
af	3750	0.734	0.416	0.813
vi	3750	0.216	0.115	0.241
is	3750	0.498	0.155	0.584
am	2477	0.000	0.000	0.000
it	3750	0.571	0.134	0.680
an	460	0.000	0.000	0.000
ar	3750	0.000	0.000	0.000
io	28	0.000	0.000	0.000
az	3750	0.552	0.306	0.614
id	3750	0.198	0.091	0.224
nl	3750	0.520	0.088	0.628
nn	3750	0.000	0.000	0.000
no	3750	0.000	0.000	0.000
ne	3750	0.000	0.000	0.000
nap	1533	0.000	0.000	0.000
pam	3750	0.000	0.000	0.000
fr	3750	0.493	0.129	0.584
fy	3750	0.000	0.000	0.000
sv	3750	0.466	0.060	0.568
fa	1172	0.380	0.119	0.445
fi	3750	0.521	0.039	0.641
bcl	3750	0.000	0.000	0.000
ka	1430	0.000	0.000	0.000
kk	5	0.000	0.000	0.000
sr	3750	0.512	0.056	0.627
sq	3750	0.675	0.355	0.755
sw	3749	0.552	0.468	0.573
kn	3750	0.297	0.244	0.310
su	3750	0.000	0.000	0.000
sk	3750	0.624	0.209	0.727
sh	3750	0.000	0.000	0.000
so	3750	0.000	0.000	0.000
ku	34	0.000	0.000	0.000
sl	3750	0.456	0.137	0.536
sd	2942	0.000	0.000	0.000
