lang	worker	num_hits	match	match-c	match-nc	num_langs
gu	1087	4	0.150	0.250	0.125	many
gu	2106	8	0.375	0.438	0.359	1
gu	1780	163	0.225	0.080	0.261	1
gu	2065	1	0.200	0.000	0.250	0
gu	236	134	0.391	0.404	0.388	many
gu	256	17	0.159	0.029	0.191	many
gu	1413	14	0.329	0.357	0.321	1
gu	2051	3	0.433	0.667	0.375	1
gu	2050	14	0.257	0.179	0.277	1
gu	2053	48	0.223	0.094	0.255	1
gu	2052	15	0.207	0.100	0.233	1
gu	2055	21	0.229	0.095	0.262	1
gu	2054	52	0.413	0.510	0.389	1
gu	2057	5	0.300	0.400	0.275	0
gu	2056	12	0.467	0.250	0.521	1
gu	2059	9	0.178	0.167	0.181	0
gu	2058	21	0.238	0.214	0.244	1
gu	1779	1	0.100	0.000	0.125	1
gu	1421	1	0.300	0.000	0.375	1
gu	654	327	0.404	0.393	0.407	1
gu	1039	122	0.462	0.414	0.474	1
gu	652	1	0.400	0.500	0.375	1
gu	653	1	0.000	0.000	0.000	1
gu	650	58	0.303	0.293	0.306	1
gu	651	14	0.407	0.393	0.411	1
gu	1025	5	0.520	0.400	0.550	many
gu	2914	72	0.372	0.368	0.373	1
gu	770	3	0.367	0.500	0.333	many
gu	1420	1	0.200	0.500	0.125	1
gu	2936	5	0.120	0.100	0.125	1
gu	2937	7	0.071	0.214	0.036	1
gu	2934	34	0.409	0.382	0.418	many
gu	2935	1	0.300	0.500	0.250	many
gu	262	29	0.372	0.276	0.397	many
gu	2063	1	0.400	1.000	0.250	1
gu	1411	481	0.239	0.234	0.240	1
gu	219	1	0.100	0.000	0.125	0
gu	2062	4	0.325	0.500	0.281	1
gu	2046	79	0.404	0.323	0.424	1
gu	2047	93	0.292	0.317	0.286	many
gu	3249	1	0.400	0.500	0.375	0
gu	3248	6	0.217	0.167	0.229	1
gu	1414	5	0.300	0.100	0.350	1
gu	23	8	0.013	0.000	0.016	many
gu	2048	26	0.342	0.365	0.337	1
gu	2049	65	0.232	0.208	0.238	1
gu	1418	46	0.313	0.272	0.323	1
gu	2064	1	0.200	0.000	0.250	1
gu	2060	4	0.275	0.125	0.312	1
gu	647	974	0.399	0.512	0.370	1
gu	1419	29	0.597	0.448	0.634	1
gu	649	156	0.181	0.228	0.169	many
gu	2061	83	0.335	0.440	0.309	1
gu	1412	28	0.289	0.268	0.295	1
gu	648	145	0.431	0.379	0.444	1
gu	2107	21	0.286	0.262	0.292	1
