lang	num_hits	num_turkers	quality	quality_syn
gu	59	59	0.558	0.769
scn	89	89	0.178	0.327
ga	104	104	0.610	0.730
gl	60	60	0.567	0.735
lb	69	69	0.285	0.399
tt	2	2	0.000	0.000
tr	107	107	0.606	0.770
lv	76	76	0.557	0.710
tl	89	89	0.633	0.847
th	38	38	0.437	0.588
te	109	109	0.489	0.796
ta	288	288	0.428	0.645
ceb	81	81	0.479	0.581
yo	20	20	0.467	0.512
de	139	139	0.534	0.807
da	82	82	0.522	0.772
qu	7	7	0.036	0.036
kn	109	109	0.481	0.705
bpy	69	69	0.264	0.343
diq	6	6	0.000	0.042
el	72	72	0.479	0.597
eo	72	72	0.518	0.671
zh	150	150	0.379	0.609
pms	14	14	0.532	0.710
eu	43	43	0.458	0.693
es	217	217	0.545	0.815
ru	105	105	0.110	0.139
new	57	57	0.206	0.325
ro	98	98	0.579	0.823
bn	79	79	0.499	0.638
be	50	50	0.562	0.695
bg	69	69	0.560	0.748
uk	30	30	0.607	0.724
wa	6	6	0.028	0.056
ast	48	48	0.289	0.498
wo	86	86	0.026	0.031
jv	61	61	0.408	0.605
bo	81	81	0.000	0.001
br	96	96	0.108	0.172
bs	77	77	0.653	0.853
ja	64	64	0.599	0.752
ilo	49	49	0.396	0.584
nds	16	16	0.381	0.607
ca	75	75	0.501	0.664
cy	62	62	0.647	0.720
cs	101	101	0.505	0.662
ps	93	93	0.079	0.144
pt	109	109	0.705	0.877
lt	65	65	0.464	0.691
pa	65	65	0.680	0.752
war	20	20	0.538	0.692
pl	88	88	0.463	0.670
hy	23	23	0.382	0.473
hr	64	64	0.552	0.783
ht	85	85	0.566	0.731
hu	50	50	0.544	0.710
hi	309	309	0.431	0.639
he	76	76	0.551	0.764
mg	6	6	0.269	0.352
uz	63	63	0.313	0.436
ml	244	244	0.487	0.760
mk	50	50	0.590	0.747
ur	75	75	0.218	0.293
ms	95	95	0.543	0.814
mr	88	88	0.411	0.665
af	70	70	0.663	0.806
vi	66	66	0.313	0.576
is	89	89	0.382	0.513
am	121	121	0.026	0.032
it	140	140	0.581	0.838
an	11	11	0.558	0.710
ar	116	116	0.461	0.671
io	8	8	0.399	0.499
az	72	72	0.497	0.698
id	55	55	0.599	0.773
nl	76	76	0.440	0.771
nn	56	56	0.444	0.638
no	65	65	0.520	0.746
ne	79	79	0.416	0.673
nap	40	40	0.504	0.613
pam	38	38	0.458	0.587
fr	189	189	0.491	0.756
fy	48	48	0.197	0.353
fa	46	46	0.431	0.615
fi	84	84	0.510	0.764
bcl	58	58	0.383	0.536
ka	52	52	0.363	0.615
kk	3	3	0.222	0.500
sr	58	58	0.641	0.836
sq	31	31	0.520	0.757
ko	54	54	0.534	0.678
sv	108	108	0.542	0.726
su	50	50	0.337	0.475
sk	59	59	0.639	0.766
sh	75	75	0.668	0.850
so	57	57	0.380	0.614
ku	25	25	0.129	0.179
sl	46	46	0.583	0.720
sw	55	55	0.488	0.655
sd	109	109	0.142	0.182
