lang	worker	num_hits	quality	quality_syn	num_langs	goog
gu	1087	4	0.375	0.500	many	0.0
gu	2106	8	0.875	1.000	1	0.375
gu	1780	163	0.255	0.402	1	0.0
gu	2065	1	1.000	1.000	0	0.2
gu	236	134	0.828	0.966	many	0.0
gu	256	17	0.206	0.235	many	0.413
gu	1413	14	0.714	0.821	1	0.329
gu	2051	3	0.833	1.000	1	0.433
gu	2050	14	0.464	0.607	1	0.257
gu	2053	48	0.260	0.396	1	0.223
gu	2052	15	0.300	0.433	1	0.207
gu	2055	21	0.238	0.238	1	0.229
gu	2054	52	0.798	0.933	1	0.413
gu	2057	5	0.800	1.000	0	0.3
gu	2056	12	0.625	0.958	1	0.467
gu	2059	9	0.389	0.500	0	0.178
gu	2058	21	0.310	0.571	1	0.238
gu	1779	1	0.000	0.500	1	0.0
gu	1421	1	0.000	0.000	1	0.3
gu	654	327	0.720	0.992	1	0.404
gu	1039	122	0.816	1.000	1	0.0
gu	652	1	1.000	1.000	1	0.4
gu	653	1	0.000	0.000	1	0.0
gu	650	58	0.707	0.862	1	0.303
gu	651	14	0.536	0.929	1	0.0
gu	1025	5	0.800	1.000	many	0.0
gu	2914	72	0.826	1.000	1	0.372
gu	770	3	0.500	0.833	many	0.0
gu	1420	1	0.500	0.500	1	0.2
gu	2936	5	0.100	0.200	1	0.12
gu	2937	7	0.286	0.571	1	0.071
gu	2934	34	0.735	0.971	many	0.0
gu	2935	1	1.000	1.000	many	0.0
gu	262	29	0.500	0.897	many	0.0
gu	2063	1	1.000	1.000	1	0.4
gu	1411	481	0.421	0.775	1	0.5
gu	219	1	0.500	1.000	0	0.589
gu	2062	4	0.500	0.500	1	0.325
gu	2046	79	0.734	0.880	1	0.404
gu	2047	93	0.667	0.866	many	0.0
gu	3249	1	1.000	1.000	0	0.4
gu	3248	6	0.250	0.917	1	0.217
gu	1414	5	0.700	1.000	1	0.0
gu	23	8	0.000	0.062	many	0.0
