	overall		in region	out of region
avg	0.456 		0.463 		0.440 

AE	0.311 (25)	0.355 (19)	0.272 (8)
AI	0.000 (1)	0.000 (0)	0.000 (1)
AL	0.676 (3)	0.676 (3)	0.000 (0)
AM	0.213 (5)	0.213 (5)	0.000 (0)
AR	0.887 (9)	0.873 (8)	1.000 (1)
AT	0.660 (16)	0.793 (10)	0.482 (7)
AU	0.446 (23)	0.217 (6)	0.498 (18)
AW	0.571 (1)	0.571 (1)	0.000 (0)
BA	0.773 (11)	0.687 (8)	0.801 (6)
BD	0.195 (24)	0.180 (20)	0.305 (7)
BE	0.634 (16)	0.615 (14)	0.594 (5)
BG	0.481 (19)	0.480 (18)	0.500 (1)
BH	0.750 (1)	0.750 (1)	0.000 (0)
BN	0.276 (4)	0.188 (1)	0.306 (3)
BR	0.741 (54)	0.773 (48)	0.479 (6)
BY	0.374 (2)	0.374 (2)	0.000 (0)
CA	0.491 (80)	0.488 (64)	0.501 (18)
CH	0.306 (6)	0.300 (5)	0.333 (1)
CL	0.856 (2)	0.856 (2)	0.000 (0)
CM	0.000 (1)	0.000 (1)	0.000 (0)
CN	0.284 (19)	0.216 (14)	0.473 (5)
CO	0.698 (5)	0.698 (5)	0.005 (1)
CR	0.705 (5)	0.724 (4)	0.676 (2)
CY	0.283 (1)	0.283 (1)	0.000 (0)
CZ	0.666 (18)	0.701 (17)	0.414 (2)
DE	0.741 (71)	0.746 (68)	0.577 (10)
DK	0.582 (23)	0.657 (20)	0.312 (4)
DO	0.392 (5)	0.392 (5)	0.000 (0)
DZ	0.267 (5)	0.333 (4)	0.333 (4)
EE	0.000 (1)	0.000 (0)	0.000 (1)
EG	0.312 (25)	0.374 (19)	0.125 (7)
ES	0.610 (61)	0.614 (54)	0.620 (9)
ET	0.093 (3)	0.093 (3)	0.000 (0)
FI	0.650 (22)	0.751 (18)	0.196 (4)
FR	0.627 (36)	0.722 (26)	0.381 (10)
GE	0.154 (44)	0.211 (26)	0.084 (21)
GR	0.570 (24)	0.492 (17)	0.714 (9)
GT	0.856 (1)	0.856 (1)	0.000 (0)
GU	0.911 (1)	0.911 (1)	0.000 (0)
GY	0.427 (2)	0.417 (1)	0.427 (2)
HK	0.286 (6)	0.000 (0)	0.286 (6)
HR	0.723 (33)	0.708 (23)	0.665 (13)
HU	0.703 (15)	0.736 (13)	0.491 (2)
ID	0.652 (43)	0.678 (40)	0.406 (5)
IE	0.538 (21)	0.478 (13)	0.635 (8)
IL	0.333 (40)	0.325 (39)	0.426 (3)
IN	0.353 (2017)	0.320 (1334)	0.410 (859)
IS	0.893 (2)	0.786 (1)	1.000 (1)
IT	0.679 (78)	0.733 (69)	0.356 (11)
JO	0.404 (17)	0.404 (17)	0.000 (0)
JP	0.511 (19)	0.521 (9)	0.504 (12)
KE	0.541 (21)	0.541 (21)	0.000 (0)
KR	0.450 (5)	0.450 (5)	0.667 (1)
KW	0.188 (2)	0.188 (2)	0.000 (0)
KZ	1.000 (1)	1.000 (1)	0.000 (0)
LB	0.204 (4)	0.206 (3)	0.200 (1)
LC	0.538 (1)	0.000 (0)	0.538 (1)
LK	0.454 (4)	0.000 (0)	0.454 (4)
LR	0.684 (1)	0.000 (0)	0.684 (1)
LT	0.552 (14)	0.552 (14)	0.000 (0)
LU	0.783 (2)	0.778 (1)	0.788 (1)
LV	0.097 (2)	0.194 (1)	0.000 (1)
MA	0.378 (12)	0.454 (10)	0.304 (4)
MD	0.283 (7)	0.283 (7)	0.000 (0)
MG	0.695 (2)	0.698 (1)	0.693 (1)
MK	0.537 (173)	0.546 (81)	0.547 (150)
MT	0.844 (2)	0.000 (0)	0.844 (2)
MU	0.500 (3)	0.500 (2)	0.500 (1)
MV	0.595 (1)	0.000 (0)	0.595 (1)
MX	0.737 (21)	0.752 (18)	0.692 (4)
MY	0.530 (23)	0.577 (18)	0.499 (8)
NG	0.363 (9)	0.363 (9)	0.000 (0)
NL	0.594 (63)	0.690 (41)	0.471 (26)
NO	0.689 (17)	0.689 (17)	0.000 (0)
NP	0.285 (8)	0.285 (8)	0.000 (0)
NZ	0.363 (7)	0.056 (3)	0.593 (4)
OM	0.300 (1)	0.000 (0)	0.300 (1)
PA	0.500 (1)	0.500 (1)	0.000 (0)
PE	0.702 (7)	0.655 (4)	0.765 (3)
PH	0.624 (147)	0.636 (139)	0.447 (11)
PK	0.266 (119)	0.232 (85)	0.324 (44)
PL	0.597 (43)	0.596 (42)	0.741 (2)
PR	0.625 (3)	0.625 (3)	0.000 (0)
PT	0.734 (36)	0.762 (32)	0.621 (8)
RO	0.668 (114)	0.718 (96)	0.542 (32)
RS	0.659 (67)	0.680 (65)	0.561 (8)
RU	0.098 (10)	0.109 (9)	0.000 (1)
SA	0.517 (3)	0.525 (2)	0.517 (3)
SE	0.677 (25)	0.701 (23)	0.529 (3)
SG	0.363 (33)	0.291 (24)	0.454 (13)
SI	0.768 (12)	0.829 (9)	0.583 (3)
SK	0.483 (6)	0.579 (5)	0.258 (3)
TH	0.358 (19)	0.304 (16)	0.648 (3)
TN	0.432 (8)	0.494 (7)	0.427 (4)
TR	0.698 (41)	0.711 (39)	0.593 (4)
TW	0.397 (6)	0.056 (3)	0.737 (3)
TZ	0.203 (2)	0.406 (1)	0.000 (1)
UA	0.369 (13)	0.437 (11)	0.167 (3)
UK	0.479 (82)	0.465 (27)	0.496 (58)
US	0.471 (904)	0.476 (823)	0.431 (96)
UY	1.000 (1)	1.000 (1)	1.000 (1)
UZ	0.083 (2)	0.083 (2)	0.000 (0)
VC	0.000 (2)	0.000 (0)	0.000 (2)
VE	0.768 (5)	0.710 (4)	1.000 (1)
VN	0.485 (21)	0.520 (18)	0.465 (5)
YE	0.000 (1)	0.000 (1)	0.000 (0)
ZA	0.793 (8)	0.777 (6)	0.842 (2)
ZM	0.000 (1)	0.000 (0)	0.000 (1)
